sample_ising,ising_energy,sample_vectorized,vectorized_energy
648,54.0,648,138.0
649,56.0,649,140.0
650,58.0,650,140.0
651,54.0,651,140.0
652,54.0,652,140.0
653,56.0,653,140.0
654,54.0,654,140.0
655,56.0,655,140.0
656,50.0,656,142.0
657,52.0,657,140.0
658,50.0,658,140.0
659,50.0,659,140.0
660,48.0,660,140.0
661,48.0,661,140.0
662,50.0,662,144.0
663,44.0,663,144.0
664,46.0,664,144.0
665,50.0,665,148.0
666,46.0,666,148.0
667,46.0,667,146.0
668,46.0,668,146.0
669,46.0,669,144.0
670,46.0,670,144.0
671,46.0,671,144.0
672,46.0,672,144.0
673,46.0,673,144.0
674,46.0,674,144.0
675,46.0,675,146.0
676,50.0,676,144.0
677,46.0,677,152.0
678,46.0,678,156.0
679,46.0,679,152.0
680,46.0,680,154.0
681,48.0,681,152.0
682,46.0,682,148.0
683,46.0,683,148.0
684,46.0,684,148.0
685,46.0,685,152.0
686,48.0,686,150.0
687,46.0,687,150.0
688,46.0,688,150.0
689,48.0,689,150.0
690,46.0,690,150.0
691,46.0,691,148.0
692,50.0,692,148.0
693,46.0,693,148.0
694,46.0,694,148.0
695,46.0,695,150.0
696,46.0,696,148.0
697,46.0,697,148.0
698,46.0,698,148.0
699,46.0,699,148.0
700,46.0,700,146.0
701,48.0,701,150.0
702,48.0,702,150.0
703,46.0,703,150.0
704,46.0,704,154.0
705,46.0,705,158.0
706,46.0,706,154.0
707,46.0,707,152.0
708,46.0,708,154.0
709,48.0,709,150.0
710,52.0,710,150.0
711,46.0,711,148.0
712,46.0,712,148.0
713,46.0,713,142.0
714,46.0,714,142.0
715,46.0,715,142.0
716,46.0,716,142.0
717,46.0,717,148.0
718,46.0,718,144.0
719,44.0,719,142.0
720,44.0,720,140.0
721,44.0,721,140.0
722,46.0,722,140.0
723,44.0,723,142.0
724,44.0,724,142.0
725,44.0,725,142.0
726,44.0,726,142.0
727,44.0,727,146.0
728,44.0,728,142.0
729,44.0,729,140.0
730,44.0,730,138.0
731,46.0,731,138.0
732,44.0,732,136.0
733,44.0,733,136.0
734,48.0,734,136.0
735,44.0,735,140.0
736,46.0,736,140.0
737,44.0,737,140.0
738,46.0,738,134.0
739,44.0,739,134.0
740,44.0,740,132.0
741,44.0,741,132.0
742,46.0,742,132.0
743,44.0,743,134.0
744,44.0,744,132.0
745,44.0,745,132.0
746,46.0,746,134.0
747,46.0,747,134.0
748,48.0,748,128.0
749,46.0,749,128.0
750,46.0,750,128.0
751,46.0,751,128.0
752,46.0,752,128.0
753,46.0,753,130.0
754,46.0,754,128.0
755,46.0,755,132.0
756,44.0,756,132.0
757,46.0,757,132.0
758,44.0,758,128.0
759,44.0,759,128.0
760,46.0,760,128.0
761,50.0,761,128.0
762,50.0,762,128.0
763,46.0,763,128.0
764,46.0,764,124.0
765,48.0,765,124.0
766,46.0,766,124.0
767,46.0,767,124.0
768,46.0,768,124.0
769,48.0,769,126.0
770,48.0,770,126.0
771,44.0,771,126.0
772,44.0,772,128.0
773,46.0,773,130.0
774,46.0,774,128.0
775,42.0,775,128.0
776,46.0,776,130.0
777,44.0,777,130.0
778,44.0,778,130.0
779,46.0,779,130.0
780,52.0,780,130.0
781,52.0,781,130.0
782,52.0,782,130.0
783,52.0,783,130.0
784,52.0,784,130.0
785,52.0,785,130.0
786,52.0,786,130.0
787,50.0,787,128.0
788,52.0,788,132.0
789,52.0,789,134.0
790,52.0,790,128.0
791,50.0,791,128.0
792,50.0,792,128.0
793,50.0,793,130.0
794,50.0,794,130.0
795,50.0,795,136.0
796,50.0,796,136.0
797,50.0,797,136.0
798,50.0,798,136.0
799,50.0,799,138.0
800,50.0,800,138.0
801,50.0,801,140.0
802,50.0,802,138.0
803,50.0,803,136.0
804,50.0,804,136.0
805,50.0,805,136.0
806,50.0,806,136.0
807,50.0,807,136.0
808,50.0,808,136.0
809,50.0,809,136.0
810,50.0,810,136.0
811,50.0,811,136.0
812,50.0,812,136.0
813,54.0,813,136.0
814,54.0,814,136.0
815,54.0,815,134.0
816,52.0,816,136.0
817,50.0,817,134.0
818,50.0,818,136.0
819,54.0,819,136.0
820,48.0,820,136.0
821,44.0,821,136.0
822,44.0,822,136.0
823,44.0,823,136.0
824,46.0,824,136.0
825,46.0,825,138.0
826,46.0,826,142.0
827,46.0,827,142.0
828,46.0,828,134.0
829,46.0,829,138.0
830,46.0,830,136.0
831,48.0,831,134.0
832,48.0,832,134.0
833,48.0,833,134.0
834,48.0,834,134.0
835,46.0,835,134.0
836,46.0,836,134.0
837,46.0,837,134.0
838,46.0,838,134.0
839,46.0,839,132.0
840,42.0,840,132.0
841,44.0,841,132.0
842,44.0,842,132.0
843,44.0,843,132.0
844,42.0,844,132.0
845,42.0,845,132.0
846,42.0,846,132.0
847,42.0,847,132.0
848,42.0,848,132.0
849,42.0,849,132.0
850,42.0,850,132.0
851,42.0,851,136.0
852,42.0,852,134.0
853,42.0,853,132.0
854,42.0,854,134.0
855,42.0,855,134.0
856,44.0,856,134.0
857,42.0,857,128.0
858,42.0,858,130.0
859,48.0,859,130.0
860,44.0,860,126.0
861,46.0,861,126.0
862,46.0,862,126.0
863,44.0,863,126.0
864,44.0,864,126.0
865,44.0,865,126.0
866,44.0,866,126.0
867,44.0,867,126.0
868,42.0,868,126.0
869,42.0,869,126.0
870,46.0,870,132.0
871,42.0,871,132.0
872,42.0,872,132.0
873,42.0,873,132.0
874,42.0,874,132.0
875,42.0,875,132.0
876,42.0,876,132.0
877,44.0,877,132.0
878,42.0,878,136.0
879,42.0,879,136.0
880,42.0,880,136.0
881,42.0,881,138.0
882,42.0,882,138.0
883,42.0,883,140.0
884,46.0,884,140.0
885,48.0,885,138.0
886,44.0,886,136.0
887,46.0,887,140.0
888,44.0,888,138.0
889,44.0,889,136.0
890,42.0,890,136.0
891,42.0,891,136.0
892,42.0,892,134.0
893,42.0,893,134.0
894,42.0,894,130.0
895,42.0,895,132.0
896,42.0,896,132.0
897,42.0,897,132.0
898,42.0,898,134.0
899,44.0,899,134.0
900,48.0,900,134.0
901,48.0,901,134.0
902,48.0,902,134.0
903,52.0,903,134.0
904,50.0,904,134.0
905,50.0,905,134.0
906,50.0,906,134.0
907,52.0,907,134.0
908,54.0,908,140.0
909,54.0,909,142.0
910,50.0,910,140.0
911,50.0,911,140.0
912,52.0,912,142.0
913,52.0,913,142.0
914,52.0,914,142.0
915,50.0,915,142.0
916,56.0,916,144.0
917,56.0,917,146.0
918,56.0,918,148.0
919,56.0,919,148.0
920,50.0,920,150.0
921,50.0,921,150.0
922,50.0,922,152.0
923,50.0,923,152.0
924,50.0,924,148.0
925,52.0,925,148.0
926,52.0,926,148.0
927,54.0,927,146.0
928,50.0,928,146.0
929,52.0,929,148.0
930,50.0,930,150.0
931,54.0,931,152.0
932,52.0,932,152.0
933,52.0,933,156.0
934,54.0,934,158.0
935,54.0,935,146.0
936,54.0,936,146.0
937,54.0,937,146.0
938,60.0,938,146.0
939,58.0,939,146.0
940,58.0,940,146.0
941,60.0,941,146.0
942,58.0,942,146.0
943,58.0,943,146.0
944,54.0,944,146.0
945,50.0,945,146.0
946,50.0,946,146.0
947,50.0,947,146.0
948,54.0,948,148.0
949,52.0,949,146.0
950,52.0,950,146.0
951,54.0,951,146.0
952,52.0,952,148.0
953,54.0,953,142.0
954,54.0,954,142.0
955,54.0,955,142.0
956,54.0,956,142.0
957,54.0,957,142.0
958,50.0,958,142.0
959,50.0,959,142.0
960,50.0,960,142.0
961,50.0,961,142.0
962,50.0,962,150.0
963,50.0,963,146.0
964,52.0,964,146.0
965,50.0,965,150.0
966,52.0,966,148.0
967,52.0,967,148.0
968,52.0,968,148.0
969,50.0,969,148.0
970,52.0,970,150.0
971,56.0,971,148.0
972,50.0,972,148.0
973,50.0,973,148.0
974,52.0,974,148.0
975,52.0,975,150.0
976,50.0,976,154.0
977,50.0,977,154.0
978,54.0,978,156.0
979,54.0,979,156.0
980,54.0,980,156.0
981,52.0,981,158.0
982,54.0,982,156.0
983,56.0,983,154.0
984,56.0,984,152.0
985,54.0,985,152.0
986,54.0,986,152.0
987,58.0,987,156.0
988,60.0,988,148.0
989,64.0,989,148.0
990,62.0,990,148.0
991,62.0,991,150.0
992,60.0,992,152.0
993,60.0,993,152.0
994,60.0,994,158.0
995,60.0,995,156.0
996,56.0,996,154.0
997,58.0,997,150.0
998,56.0,998,150.0
999,58.0,999,148.0
1000,56.0,1000,148.0
